cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
EC,MT-ND3,AKI,0.14804243,400,72.291214,88.575,146.56877,-45.280670166015625,45.280670166015625,6.703460240243203
EC,MT-CO3,AKI,0.104842775,400,47.932518,53.307022,85.74611,-21.59404754638672,21.59404754638672,2.2639798589594307
EC,MT-ND2,AKI,0.15543674,400,21.284578,28.833263,42.67553,-14.469818115234375,14.469818115234375,2.2491413464654215
EC,MT-ND1,AKI,0.17280374,400,13.219269,19.456408,27.832937,-10.425403594970703,10.425403594970703,1.8015487809458932
EC,MT-CYB,AKI,0.09285142,400,26.414228,29.845713,53.653515,-15.3353853225708,15.3353853225708,1.423912345269109
EC,MT-CO1,AKI,0.06247921,400,79.79666,82.95762,113.680016,-18.52215576171875,18.52215576171875,1.15724964383503
EC,MT-CO2,AKI,0.05281517,400,71.080215,68.685295,112.11161,-19.3182373046875,19.3182373046875,1.0202959698835912
EC,MT-ATP6,AKI,0.098694876,400,61.09013,56.066628,84.258064,-9.072216033935547,9.072216033935547,0.8953812350300154
EC,MT-ND4L,AKI,0.1430245,400,11.309987,16.97181,17.796839,-6.074337005615234,6.074337005615234,0.8687790384790333
EC,MALAT1,AKI,0.021206986,400,49.899372,58.60496,107.73449,-33.27035331726074,33.27035331726074,0.7055639223070571
EC,MT-ND5,AKI,0.13590617,400,8.540552,11.557712,14.5966215,-4.536614418029785,4.536614418029785,0.6165539120014074
EC,IGFBP5,AKI,0.030515432,400,12.687477,17.84954,41.713604,-17.09409523010254,17.09409523010254,0.521633706711782
EC,HLA-B,AKI,0.12475093,400,5.081662,6.552999,10.449117,-3.419395685195923,3.419395685195923,0.4265727818179421
EC,B2M,AKI,0.029605228,400,20.399572,23.448753,44.12647,-13.388038635253906,13.388038635253906,0.39635594234599125
EC,TIMP3,AKI,0.08316912,400,5.3797936,7.414783,12.592698,-4.623946905136108,4.623946905136108,0.38456958379034845
EC,MT2A,AKI,0.035420354,400,1.5742459,1.4426614,21.921658,-10.107913553714752,10.107913553714752,0.35802588088024634
EC,TXNIP,AKI,0.16549987,400,2.414588,4.1443043,4.349209,-1.8321685791015625,1.8321685791015625,0.3032236543467661
EC,CD74,AKI,0.09134113,400,8.489582,9.890199,13.573116,-3.2420754432678223,3.2420754432678223,0.2961348359451499
EC,XIST,AKI,0.24416998,400,0.34403574,1.1470544,1.1762794,-0.817631185054779,0.817631185054779,0.19964099033731308
EC,MT-ND4,AKI,0.027198479,400,54.609623,56.612034,66.56591,-6.979349136352539,6.979349136352539,0.18982767798408418
EC,MGP,AKI,0.036876086,400,3.0641358,3.3017325,12.118621,-4.646040916442871,4.646040916442871,0.17132780507091283
EC,HLA-DRA,AKI,0.07322759,400,3.0491214,3.8651001,6.296291,-2.0315741300582886,2.0315741300582886,0.1487672811329679
EC,EPAS1,AKI,0.06282425,400,1.8913112,2.460336,5.7514415,-2.214577555656433,2.214577555656433,0.13912917237894362
EC,RPS27,AKI,0.057702407,400,5.077414,5.808049,8.622014,-2.137617588043213,2.137617588043213,0.12334568059051065
EC,RPS4Y1,AKI,0.28507254,400,0.5578034,0.077964954,0.30199724,0.3678222931921482,0.3678222931921482,0.10485603365146978
EC,SLC9A3R2,AKI,0.046132144,400,2.8354113,3.3939686,6.5952415,-2.159193754196167,2.159193754196167,0.09960823630045912
EC,VWF,AKI,0.082734935,400,2.0199938,1.2065883,0.44379655,1.1948013752698898,1.1948013752698898,0.0988518141037048
EC,SEC14L1,AKI,0.087946825,400,0.8904664,1.1406636,2.864912,-1.1123214364051819,1.1123214364051819,0.09782513841032836
EC,RPS4X,AKI,0.07125292,400,2.9055605,3.5774949,4.68839,-1.2273818254470825,1.2273818254470825,0.08745453869096753
EC,MARCKS,AKI,0.092718504,400,1.6902257,1.0859406,0.41276017,0.9408753365278244,0.9408753365278244,0.087236554000783
EC,JUND,AKI,0.048026986,400,1.1129509,1.3199961,4.187512,-1.6408030986785889,1.6408030986785889,0.07880282813838413
EC,MT-ATP8,AKI,0.09176031,400,1.398974,1.7166246,2.791697,-0.8551868796348572,0.8551868796348572,0.07847221108838731
EC,EMCN,AKI,0.019981446,400,3.0018237,3.8909445,9.807085,-3.847191095352173,3.847191095352173,0.07687244014101724
EC,RNASE1,AKI,0.07515668,400,5.14452,4.941403,7.3598943,-1.0061287879943848,1.0061287879943848,0.07561730060528404
EC,ADIRF,AKI,0.07904671,400,1.543704,2.362327,2.6104112,-0.9426651000976562,0.9426651000976562,0.0745145760441801
EC,EEF1A1,AKI,0.043441758,400,8.781738,8.83211,11.972966,-1.6208000183105469,1.6208000183105469,0.07041040144832778
EC,ITM2B,AKI,0.03472059,400,4.1169953,4.6009903,7.5740294,-1.9705145359039307,1.9705145359039307,0.0684174242860438
EC,TIMP1,AKI,0.120425425,400,1.3495307,0.7066426,0.89331764,0.5495505630970001,0.5495505630970001,0.06617986037816581
EC,TPT1,AKI,0.026664339,400,5.6400013,4.731269,11.310605,-2.3809356689453125,2.3809356689453125,0.06348607582810928
EC,ID1,AKI,0.050386753,400,2.622942,3.0967686,4.613108,-1.2319964170455933,1.2319964170455933,0.06207629908034251
EC,KLF9,AKI,0.07720185,400,0.2402338,0.35800692,1.7133942,-0.7954667508602142,0.7954667508602142,0.06141150534650808
EC,HLA-A,AKI,0.049920697,400,3.3649366,3.7827888,5.3566337,-1.2047746181488037,1.2047746181488037,0.06014318838299726
EC,HLA-DPA1,AKI,0.055246376,400,1.337939,1.710842,3.1321747,-1.083569347858429,1.083569347858429,0.059863279073329334
EC,SPTBN1,AKI,0.056540918,400,1.95233,2.370225,3.5757935,-1.020679235458374,1.020679235458374,0.05771014055335133
EC,PTPRB,AKI,0.04998577,400,1.5704138,1.9391679,3.4518127,-1.1250764727592468,1.1250764727592468,0.056237813952898064
EC,HLA-E,AKI,0.023555825,400,3.548368,4.0896277,7.7789283,-2.3859100341796875,2.3859100341796875,0.056202078116911025
EC,MT1G,AKI,0.049861122,400,1.4918469,0.5513541,0.24583276,1.0932534858584404,1.0932534858584404,0.054510845350838805
EC,LIFR,AKI,0.06372084,400,0.750004,1.0179093,2.1794634,-0.8486823439598083,0.8486823439598083,0.05407874950406377
EC,DUSP1,AKI,0.039404284,400,0.3847904,0.5031687,3.0005639,-1.367075890302658,1.367075890302658,0.0538686469167754
EC,MT1X,AKI,0.031783696,400,0.37248343,0.38539162,3.7204885,-1.6804566532373428,1.6804566532373428,0.05341112385136165
EC,FTH1,AKI,0.036519807,400,4.1687236,4.406949,6.713004,-1.3912529945373535,1.3912529945373535,0.05080829061505021
EC,MYL12A,AKI,0.05156405,400,2.0310314,2.30838,3.7135463,-0.9799317121505737,0.9799317121505737,0.05052924679817972
EC,RPL10,AKI,0.022127772,400,6.9756417,7.627859,10.698739,-2.187657356262207,2.187657356262207,0.04840798264678092
EC,PPAP2A,AKI,0.03857956,400,0.26874098,0.49333337,2.5059774,-1.2309143990278244,1.2309143990278244,0.04748813691693854
EC,HSPG2,AKI,0.07014282,400,2.6648266,1.8594193,2.1642294,0.6530022621154785,0.6530022621154785,0.04580342044295804
EC,TMEM88,AKI,0.0755644,400,0.7465606,0.98108804,1.7209451,-0.6044560074806213,0.6044560074806213,0.04567535514579024
EC,MT1E,AKI,0.031433187,400,0.45324817,0.5100522,3.2745252,-1.4390405118465424,1.4390405118465424,0.04523363012123682
EC,RPL24,AKI,0.05701019,400,2.8688328,2.8801222,4.3945303,-0.7684934139251709,0.7684934139251709,0.04381195454163489
EC,TACC1,AKI,0.06804728,400,0.5253864,0.62378126,1.6910775,-0.6320429742336273,0.6320429742336273,0.04300880374137184
EC,CAVIN2,AKI,0.04813292,400,0.5363711,0.65350354,2.197109,-0.8889351487159729,0.8889351487159729,0.04278704330946104
EC,IFI27,AKI,0.03102725,400,6.1277385,6.5033097,8.509706,-1.3787691593170166,1.3787691593170166,0.04277941538724228
EC,IGFBP7,AKI,0.08336026,400,5.150171,4.8138595,4.4635916,0.5114452838897705,0.5114452838897705,0.0426342129737467
