cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
PC,MT-ND3,AKI,0.04448707,400,118.9951,158.79973,349.056,-134.9327621459961,134.9327621459961,6.002763274314276
PC,MT-CO1,AKI,0.03075952,400,181.16104,223.91992,434.9214,-148.25961303710938,148.25961303710938,4.560394655273512
PC,MT-CO3,AKI,0.030328892,400,112.27878,134.12787,249.91032,-79.74031829833984,79.74031829833984,2.4184355153821
PC,MT-CO2,AKI,0.01506054,400,158.76923,169.46132,411.2371,-131.5799789428711,131.5799789428711,1.9816655740536646
PC,MT-CYB,AKI,0.03160741,400,56.09931,72.66395,162.99379,-61.729557037353516,61.729557037353516,1.9511115296232617
PC,MT-ND2,AKI,0.03528913,400,41.834995,59.774208,111.83049,-43.96735382080078,43.96735382080078,1.5515697133197932
PC,MALAT1,AKI,0.011842308,400,129.01323,192.47466,324.44586,-129.44702911376953,129.44702911376953,1.5329515411569687
PC,MT-ND1,AKI,0.035731643,400,31.62005,45.12605,85.08782,-33.48688507080078,33.48688507080078,1.1965414372104988
PC,MT-ND4,AKI,0.015358921,400,90.84936,110.11677,172.09406,-50.25605392456055,50.25605392456055,0.7718787690566415
PC,WFDC2,AKI,0.058988057,400,30.049665,20.526545,16.3712,11.60079288482666,11.60079288482666,0.6843082328278101
PC,MT-ATP6,AKI,0.011023554,400,85.39159,96.691956,190.36531,-58.137046813964844,58.137046813964844,0.640876876095497
PC,MT-ND4L,AKI,0.039009403,400,19.219479,31.706015,37.299038,-15.283047676086426,15.283047676086426,0.5961825725491074
PC,MT-ND5,AKI,0.03775954,400,16.277885,23.341017,36.51801,-13.651627540588379,13.651627540588379,0.5154791589818011
PC,CALB1,AKI,0.0434697,400,1.420734,3.2371483,10.387833,-5.3917564153671265,5.3917564153671265,0.2343780390375989
PC,IGFBP7,AKI,0.029451305,400,14.506282,20.243536,24.684166,-7.957569122314453,7.957569122314453,0.2343607956513054
PC,AQP3,AKI,0.022324849,400,8.68066,12.096624,18.850677,-6.792990684509277,6.792990684509277,0.1516524907473631
PC,S100A6,AKI,0.01273888,400,25.831905,32.165585,41.928955,-11.215364456176758,11.215364456176758,0.1428711793844215
PC,ACTB,AKI,0.027803643,400,7.3295217,9.374992,14.979027,-4.847487926483154,4.847487926483154,0.13477782218067436
PC,JUND,AKI,0.026020357,400,2.0638704,2.842692,11.610219,-5.162585020065308,5.162585020065308,0.1343323072539806
PC,RPS27,AKI,0.01873825,400,8.692183,11.805379,17.764065,-6.092539310455322,6.092539310455322,0.11416352057178702
PC,RPS3A,AKI,0.019464597,400,6.8058224,9.89056,15.174268,-5.72659158706665,5.72659158706665,0.11146579803274648
PC,TPT1,AKI,0.01783355,400,8.75464,10.411378,19.280737,-6.0914177894592285,6.0914177894592285,0.1086316008520658
PC,ACTG1,AKI,0.019943172,400,5.495099,7.66481,13.492463,-5.083537578582764,5.083537578582764,0.10138186486804113
PC,FOS,AKI,0.018204162,400,1.2486875,2.2500517,11.275599,-5.514137625694275,5.514137625694275,0.10038025406214124
PC,MIF,AKI,0.034980588,400,2.0005872,4.27883,5.3801193,-2.828887462615967,2.828887462615967,0.0989561458698951
PC,HLA-DRA,AKI,0.070597604,400,2.2874649,1.3458527,0.44741026,1.3908333629369736,1.3908333629369736,0.09818950287134309
PC,RPS10,AKI,0.03985146,400,1.9814861,3.7270498,5.0607977,-2.412437677383423,2.412437677383423,0.09613916506433728
PC,RPS24,AKI,0.015744118,400,9.05678,11.870802,17.84835,-5.802796363830566,5.802796363830566,0.09135991079781824
PC,RPL41,AKI,0.005870888,400,24.325827,29.795898,47.803402,-14.473823547363281,14.473823547363281,0.08497419711825671
PC,B2M,AKI,0.03236775,400,14.105509,11.817092,11.306171,2.543877124786377,2.543877124786377,0.08233958135556207
PC,NDUFA13,AKI,0.047881965,400,2.3811283,3.2725928,4.79806,-1.6541980504989624,1.6541980504989624,0.07920625248566315
PC,EIF1,AKI,0.0140122045,400,4.825166,6.209722,13.911428,-5.2354090213775635,5.2354090213775635,0.07335962176047817
PC,RPS29,AKI,0.026878303,400,2.529376,3.8930953,6.4550977,-2.644720435142517,2.644720435142517,0.07108559698623496
PC,RPL37,AKI,0.01888177,400,4.553796,6.4026833,10.213468,-3.754279613494873,3.754279613494873,0.07088744361774868
PC,EPCAM,AKI,0.023480779,400,7.093202,8.816099,11.28554,-2.9576172828674316,2.9576172828674316,0.06944715648436439
PC,RPL3,AKI,0.011950689,400,8.639314,11.744267,16.855541,-5.660590648651123,5.660590648651123,0.06764796048115196
PC,SERF2,AKI,0.022027662,400,10.156472,10.138079,16.282324,-3.0537290573120117,3.0537290573120117,0.06726651158703767
PC,RPS4X,AKI,0.011161514,400,7.931806,12.543014,15.3413315,-6.010366439819336,6.010366439819336,0.06708478691875541
PC,SAT1,AKI,0.020442087,400,2.616056,3.309426,8.349951,-3.2136324644088745,3.2136324644088745,0.06569335507668717
PC,CD63,AKI,0.022499116,400,5.502106,6.6567154,9.831048,-2.7417755126953125,2.7417755126953125,0.06168752568342484
PC,RPS25,AKI,0.016098225,400,5.4736605,7.2178254,11.177248,-3.7238762378692627,3.7238762378692627,0.059947799371312005
PC,RPL34,AKI,0.0083634015,400,9.579147,12.848401,20.290548,-6.99032735824585,6.99032735824585,0.05846291443418128
PC,XIST,AKI,0.054522533,400,0.6317691,2.010258,1.392864,-1.069791853427887,1.069791853427887,0.05832776159925257
PC,CD74,AKI,0.0387154,400,2.8119855,1.7034106,0.90893185,1.505814254283905,1.505814254283905,0.058298200881746975
PC,EEF1A1,AKI,0.0054543098,400,19.39253,23.979984,36.097736,-10.646329879760742,10.646329879760742,0.058068380868603775
