cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
PT,MT-ND3,AKI,0.15114579,400,98.84678,130.3096,221.29507,-76.95555877685547,76.95555877685547,11.63150842201253
PT,MT1G,AKI,0.1573656,400,57.674652,31.54689,28.643833,27.57929039001465,27.57929039001465,4.340031724179227
PT,MT-ND2,AKI,0.15288901,400,30.918463,39.163532,67.92469,-22.625648498535156,22.625648498535156,3.4592130739965796
PT,MT-ND1,AKI,0.17631428,400,19.580925,27.004358,46.137325,-16.989916801452637,16.989916801452637,2.995564938543808
PT,MT-CYB,AKI,0.13595615,400,42.749382,44.78289,80.85645,-20.070289611816406,20.070289611816406,2.728679370709301
PT,SPP1,AKI,0.08746275,400,24.276987,9.201167,2.294285,18.529260993003845,18.529260993003845,1.6206201785686893
PT,MT-CO3,AKI,0.04658971,400,101.64679,99.77835,166.39832,-31.441543579101562,31.441543579101562,1.4648523915917622
PT,GSTP1,AKI,0.116115466,400,12.235778,4.4667153,2.7394376,8.632701396942139,8.632701396942139,1.0023901434749334
PT,MT-CO1,AKI,0.060926784,400,170.96788,156.30661,216.84987,-15.610359191894531,15.610359191894531,0.951088979992079
PT,MT-CO2,AKI,0.031027386,400,127.863144,122.669075,184.69725,-25.820018768310547,25.820018768310547,0.8011276879476483
PT,MT1H,AKI,0.1474685,400,10.423863,4.744486,5.625215,5.239012956619263,5.239012956619263,0.7725894203850174
PT,MT-ND4L,AKI,0.07216905,400,13.687628,21.619547,24.924541,-9.584416389465332,9.584416389465332,0.691698231136499
PT,MT-ATP6,AKI,0.02797915,400,84.85308,81.00372,132.8689,-22.083229064941406,22.083229064941406,0.6178699876451219
PT,MT-ND5,AKI,0.08920798,400,11.488809,15.213046,21.29999,-6.767709255218506,6.767709255218506,0.6037336519646175
PT,GPX3,AKI,0.044069134,400,12.293678,13.824838,35.389244,-12.31336259841919,12.31336259841919,0.5426392226332659
PT,MIOX,AKI,0.10798823,400,1.8165442,4.2658663,9.207813,-4.920295596122742,4.920295596122742,0.5313340168520009
PT,FXYD2,AKI,0.09370428,400,9.384242,16.70485,12.828133,-5.382248878479004,5.382248878479004,0.5043397733634833
PT,MT-ND4,AKI,0.06449918,400,86.620964,81.95341,106.83502,-7.773250579833984,7.773250579833984,0.5013682653146532
PT,GATM,AKI,0.0892255,400,3.523318,6.489919,10.148806,-4.79604434967041,4.79604434967041,0.4279294590641882
PT,APOE,AKI,0.05676745,400,5.756606,8.227035,17.933832,-7.323827266693115,7.323827266693115,0.4157549892569605
PT,TMSB10,AKI,0.038715966,400,20.779076,14.9053545,5.2404094,10.706193685531616,10.706193685531616,0.41450063120940506
PT,FTH1,AKI,0.067687094,400,30.846376,24.070633,27.76497,4.928574562072754,4.928574562072754,0.3336008907118071
PT,RPS4Y1,AKI,0.20396438,400,1.9691468,0.23093322,0.68033797,1.5135112553834915,1.5135112553834915,0.30870238847495246
PT,RARRES3,AKI,0.18088369,400,2.0579123,0.56599694,0.34710974,1.6013590097427368,1.6013590097427368,0.28965972784172145
PT,MT-ATP8,AKI,0.120407924,400,1.2253797,2.2738757,4.4050164,-2.1140663623809814,2.1140663623809814,0.2545503420110258
PT,FTL,AKI,0.016129775,400,56.289883,52.699123,87.424805,-13.77208137512207,13.77208137512207,0.22214057348775995
PT,RPLP1,AKI,0.03485259,400,21.106468,15.5792055,13.935227,6.349251747131348,6.349251747131348,0.2212878705648187
PT,GSTA2,AKI,0.06997878,400,0.36579278,2.0273266,4.981004,-3.138372629880905,3.138372629880905,0.21961949110243473
PT,WFDC2,AKI,0.03142951,400,9.708194,4.7291064,0.7251084,6.981086373329163,6.981086373329163,0.2194121279160366
PT,SOD2,AKI,0.06809993,400,4.354211,1.3314335,0.9512347,3.2128767371177673,3.2128767371177673,0.21879668373156402
PT,RPL28,AKI,0.03581769,400,14.365302,9.775179,6.984543,5.985441207885742,5.985441207885742,0.21438467885637635
PT,RPL41,AKI,0.04569476,400,24.534096,21.596306,18.443121,4.514382362365723,4.514382362365723,0.2062836230126024
PT,S100A6,AKI,0.0489503,400,10.793566,10.631989,3.4536424,3.7507503032684326,3.7507503032684326,0.18360035114715245
PT,CLU,AKI,0.05818031,400,7.542156,7.302279,1.5204384,3.130797505378723,3.130797505378723,0.18215076888448767
PT,ITM2B,AKI,0.046140812,400,13.714852,11.886173,8.154512,3.694509506225586,3.694509506225586,0.17046766980548966
PT,RPL8,AKI,0.039286494,400,11.9730425,8.097967,7.4157076,4.21620512008667,4.21620512008667,0.16563991822846447
PT,RPL15,AKI,0.06117623,400,8.024001,5.738873,5.243994,2.5325675010681152,2.5325675010681152,0.15493293008282016
PT,DUSP23,AKI,0.115956195,400,1.9937052,0.7944707,0.5541275,1.3194060325622559,1.3194060325622559,0.15299330279857415
PT,DBI,AKI,0.070313714,400,4.750464,2.7714887,2.5385716,2.095433831214905,2.095433831214905,0.14733773604567713
PT,SERF2,AKI,0.040238895,400,11.561741,8.299889,7.694185,3.564704179763794,3.564704179763794,0.14343975549232546
PT,S100A1,AKI,0.11661175,400,2.1040552,1.2836119,0.5751148,1.1746918261051178,1.1746918261051178,0.13698286830034778
PT,RACK1,AKI,0.044684023,400,5.960579,3.539381,2.3519459,3.0149154663085938,3.0149154663085938,0.134718551029664
PT,ACTG1,AKI,0.060875244,400,5.5720654,3.996369,2.8269799,2.1603909730911255,2.1603909730911255,0.13151432856997136
PT,NEAT1,AKI,0.047605768,400,5.5773573,3.1508532,2.5008054,2.751528024673462,2.751528024673462,0.13098860436466353
PT,CYBA,AKI,0.048695013,400,4.752714,2.761309,1.3714526,2.686333417892456,2.686333417892456,0.13081104051065395
PT,CRYAB,AKI,0.02431369,400,12.764146,8.930739,5.9646406,5.316455841064453,5.316455841064453,0.12926265996711805
PT,LTF,AKI,0.05073478,400,2.578217,0.22815226,0.0023124202,2.4629846893949434,2.4629846893949434,0.12495898815488586
PT,ALDOB,AKI,0.011282458,400,3.2391388,7.354213,20.474346,-10.675140857696533,10.675140857696533,0.12044182805167436
PT,CDH6,AKI,0.074806534,400,2.324888,1.2971724,0.2539796,1.5493119806051254,1.5493119806051254,0.11589865897241547
PT,S100A11,AKI,0.025077587,400,7.9067044,5.087183,1.791481,4.467372417449951,4.467372417449951,0.11203092043129903
PT,ADIRF,AKI,0.06846581,400,1.6055986,3.8229322,2.6266627,-1.6191989183425903,1.6191989183425903,0.11085975989921781
PT,ATP5PF,AKI,0.06859813,400,3.0709286,1.7237879,1.3310056,1.5435318350791931,1.5435318350791931,0.10588339571490968
PT,FABP1,AKI,0.038891844,400,0.73432213,2.3813992,4.4159408,-2.66434782743454,2.66434782743454,0.10362140126908281
PT,RPS24,AKI,0.023245893,400,14.673476,11.336415,9.152813,4.42886209487915,4.42886209487915,0.1029528562240749
PT,RPS8,AKI,0.025405476,400,11.283837,8.114976,6.3881817,4.0322585105896,4.0322585105896,0.10244144629147822
PT,RPL13,AKI,0.018510144,400,19.868954,14.46698,14.419878,5.425524711608887,5.425524711608887,0.10042724479371046
PT,RPL19,AKI,0.03375044,400,11.817783,9.074555,8.926653,2.8171792030334473,2.8171792030334473,0.09508104026813236
PT,MT2A,AKI,0.023639433,400,12.714878,8.426633,9.270528,3.866297721862793,3.866297721862793,0.09139708628621435
PT,RPL24,AKI,0.040654268,400,9.080129,7.0720315,6.716159,2.1860334873199463,2.1860334873199463,0.08887159150353252
PT,HPD,AKI,0.038284954,400,0.62894183,1.776201,3.9764419,-2.2473796010017395,2.2473796010017395,0.08604082393385215
PT,RPL10,AKI,0.01834033,400,17.786694,14.504944,11.742736,4.662853717803955,4.662853717803955,0.08551827858844341
PT,RPLP0,AKI,0.062197212,400,4.1382437,3.05559,2.477895,1.3715012073516846,1.3715012073516846,0.08530355152997249
PT,UQCRH,AKI,0.06464912,400,3.543938,2.2271166,2.2451577,1.3078007698059082,1.3078007698059082,0.08454816886820282
PT,IFITM3,AKI,0.060171537,400,2.2981899,1.3288596,0.48292023,1.3922999799251556,1.3922999799251556,0.08377682989816226
PT,ATP5F1D,AKI,0.040575244,400,3.8735576,2.1061609,1.553483,2.04373562335968,2.04373562335968,0.08292507063418686
